Fri Dec  9 10:54:53 2022    concur

         1072955 function calls (1047034 primitive calls) in 37.555 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      248    0.008    0.000    0.037    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\lines.py:649(recache)
       44    0.001    0.000    0.037    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\offsetbox.py:808(get_extent)
        1    0.000    0.000    0.037    0.037 C:\Users\anony\Balaba\venv\lib\site-packages\PIL\PngImagePlugin.py:1221(_save)
        1    0.000    0.000    0.036    0.036 C:\Users\anony\Balaba\venv\lib\site-packages\PIL\ImageFile.py:484(_save)
        1    0.000    0.000    0.036    0.036 C:\Users\anony\Balaba\venv\lib\site-packages\PIL\ImageFile.py:512(_encode_tile)
      104    0.002    0.000    0.036    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\bezier.py:276(axis_aligned_extrema)
        4    0.000    0.000    0.036    0.009 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axes\_base.py:741(_init_axis)
        2    0.035    0.018    0.035    0.018 {method 'encode' of 'ImagingEncoder' objects}
       59    0.001    0.000    0.035    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:662(union)
      673    0.008    0.000    0.035    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\font_manager.py:658(__init__)
        1    0.000    0.000    0.034    0.034 C:\Users\anony\Balaba\venv\lib\site-packages\openpyxl\writer\excel.py:208(_write_worksheets)
        2    0.000    0.000    0.034    0.017 C:\Users\anony\Balaba\venv\lib\site-packages\openpyxl\writer\excel.py:190(write_worksheet)
       96    0.001    0.000    0.033    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\patches.py:708(__init__)
       48    0.000    0.000    0.033    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:790(clear)
      458    0.001    0.000    0.033    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\patches.py:842(get_bbox)
      374    0.001    0.000    0.033    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\artist.py:1166(_cm_set)
     10/8    0.000    0.000    0.032    0.004 {built-in method builtins.__import__}
        6    0.000    0.000    0.032    0.005 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\offsetbox.py:348(get_window_extent)
      140    0.001    0.000    0.032    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:1426(__sub__)
     2384    0.003    0.000    0.032    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:1348(__add__)
     2213    0.018    0.000    0.031    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\cbook\__init__.py:1691(normalize_kwargs)
       36    0.000    0.000    0.031    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\ticker.py:2112(__call__)
        8    0.000    0.000    0.030    0.004 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:934(set_clip_path)
      804    0.003    0.000    0.030    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:822(from_extents)
 1294/564    0.002    0.000    0.029    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:2395(__eq__)
       36    0.000    0.000    0.029    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\ticker.py:2116(tick_values)
      104    0.001    0.000    0.029    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:1408(contains_branch_seperately)
     2413    0.006    0.000    0.029    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\colors.py:152(to_rgba)
    77/67    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      205    0.002    0.000    0.028    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\xlsx2html\format\__init__.py:16(format_cell)
1038/1034    0.007    0.000    0.028    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:1791(__eq__)
      104    0.001    0.000    0.028    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:1389(contains_branch)
     2384    0.005    0.000    0.028    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:2508(composite_transform_factory)
      278    0.001    0.000    0.028    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\backends\backend_agg.py:133(draw_path)
       36    0.003    0.000    0.027    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\ticker.py:2052(_raw_ticks)
 1776/400    0.008    0.000    0.026    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\openpyxl\descriptors\serialisable.py:173(__eq__)
     3283    0.009    0.000    0.026    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:1900(__init__)
      278    0.016    0.000    0.026    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        8    0.000    0.000    0.026    0.003 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:638(__init__)
       95    0.003    0.000    0.025    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:673(intersection)
      225    0.001    0.000    0.025    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\text.py:1251(set_fontproperties)
        2    0.000    0.000    0.025    0.013 C:\Users\anony\Balaba\venv\lib\site-packages\openpyxl\reader\excel.py:203(read_worksheets)
      205    0.004    0.000    0.025    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\xlsx2html\core.py:74(get_styles_from_cell)
       64    0.001    0.000    0.024    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\ticker.py:433(__init__)
       19    0.001    0.000    0.024    0.001 <frozen importlib._bootstrap_external>:916(get_code)
7622/3983    0.005    0.000    0.024    0.000 {built-in method builtins.hash}
