Fri Dec  9 10:56:02 2022    async

         1084106 function calls (1058191 primitive calls) in 43.945 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.034    0.034 C:\Users\anony\Balaba\venv\lib\site-packages\PIL\PngImagePlugin.py:1221(_save)
      131    0.002    0.000    0.034    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\patches.py:59(__init__)
        1    0.000    0.000    0.034    0.034 C:\Users\anony\Balaba\venv\lib\site-packages\PIL\ImageFile.py:484(_save)
        1    0.000    0.000    0.034    0.034 C:\Users\anony\Balaba\venv\lib\site-packages\PIL\ImageFile.py:512(_encode_tile)
    60/22    0.000    0.000    0.034    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\offsetbox.py:343(get_extent)
    28/18    0.000    0.000    0.034    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\offsetbox.py:436(<listcomp>)
        2    0.033    0.017    0.033    0.017 {method 'encode' of 'ImagingEncoder' objects}
      390    0.001    0.000    0.033    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\openpyxl\utils\indexed_list.py:47(add)
        1    0.000    0.000    0.033    0.033 C:\Users\anony\Balaba\venv\lib\site-packages\openpyxl\writer\excel.py:208(_write_worksheets)
        2    0.000    0.000    0.033    0.016 C:\Users\anony\Balaba\venv\lib\site-packages\openpyxl\writer\excel.py:190(write_worksheet)
       64    0.000    0.000    0.032    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:759(_set_scale)
      248    0.007    0.000    0.032    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\lines.py:649(recache)
       64    0.000    0.000    0.032    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\scale.py:104(set_default_locators_and_formatters)
        4    0.000    0.000    0.031    0.008 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axes\_base.py:741(_init_axis)
    20/11    0.000    0.000    0.031    0.003 {built-in method builtins.exec}
       44    0.001    0.000    0.031    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\offsetbox.py:808(get_extent)
        1    0.001    0.001    0.030    0.030 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axes\_axes.py:2932(pie)
      176    0.001    0.000    0.030    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\openpyxl\styles\styleable.py:23(__set__)
       96    0.001    0.000    0.030    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\patches.py:708(__init__)
       59    0.001    0.000    0.030    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:662(union)
    29928    0.021    0.000    0.029    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\__init__.py:653(__getitem__)
     5955    0.029    0.000    0.029    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     2213    0.015    0.000    0.029    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\cbook\__init__.py:1691(normalize_kwargs)
       48    0.000    0.000    0.029    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:790(clear)
        1    0.000    0.000    0.028    0.028 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axes\_axes.py:2449(barh)
      374    0.001    0.000    0.028    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\artist.py:1166(_cm_set)
     10/8    0.000    0.000    0.027    0.003 {built-in method builtins.__import__}
        6    0.000    0.000    0.027    0.004 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\offsetbox.py:348(get_window_extent)
      205    0.004    0.000    0.026    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\xlsx2html\core.py:74(get_styles_from_cell)
