name,salary_from,salary_to,salary_currency,area_name,published_at
Инженер отдела технической поддержки и программного обеспечения,Оренбург,43000.0,,RUR,2022-12-01T08:01:23+0300
Оператор станков с ПУ,Ульяновск,115000.0,,RUR,2022-12-01T08:53:22+0300
Go разработчик со знаниями Python,Алматы,,1000000.0,KZT,2022-12-01T06:20:19+0300
Токарь (Пермь),Екатеринбург,106000.0,126000.0,RUR,2022-12-01T07:39:10+0300
Токарь (Пермь),Волгоград,106000.0,126000.0,RUR,2022-12-01T07:39:10+0300
Фрезеровщик (Пермь),Ижевск,106000.0,126000.0,RUR,2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),Очер,106000.0,126000.0,RUR,2022-12-01T07:55:10+0300
Токарь-расточник (г.Пермь),Владимир,112000.0,140000.0,RUR,2022-12-01T08:26:45+0300
Инженер-электрик,Санкт-Петербург,60000.0,,RUR,2022-12-01T11:12:48+0300
Программист,Курск,16512.0,20500.0,RUR,2022-12-01T08:34:17+0300
Оператор станков с ЧПУ,Ростов-на-Дону,114000.0,,RUR,2022-12-01T08:33:44+0300
Токарь-расточник (г.Пермь),Санкт-Петербург,112000.0,140000.0,RUR,2022-12-01T08:26:45+0300
Оператор станков с ПУ,Пермь,52000.0,,RUR,2022-12-01T11:04:10+0300
Токарь (Пермь),Краснодар,106000.0,126000.0,RUR,2022-12-01T07:39:10+0300
Токарь (Пермь),Кострома,106000.0,126000.0,RUR,2022-12-01T07:39:10+0300
Токарь (Пермь),Очер,106000.0,126000.0,RUR,2022-12-01T07:39:10+0300
Фрезеровщик (Пермь),Пенза,106000.0,126000.0,RUR,2022-12-01T07:55:10+0300
Токарь-расточник (г.Пермь),Омск,112000.0,140000.0,RUR,2022-12-01T08:26:45+0300
Токарь-расточник (г.Пермь),Волгоград,112000.0,140000.0,RUR,2022-12-01T08:26:45+0300
Строгальщик (г. Челябинск),Краснодар,105000.0,,RUR,2022-12-01T10:47:52+0300
Рабочий по комплексному обслуживанию зданий,Ярославль,24600.0,27000.0,RUR,2022-12-01T11:52:59+0300
Шлифовщик,Томск,120000.0,,RUR,2022-12-01T11:36:53+0300
Токарь (Пермь),Калуга,106000.0,126000.0,RUR,2022-12-01T07:39:10+0300
Токарь-расточник (г.Пермь),Москва,112000.0,140000.0,RUR,2022-12-01T08:26:45+0300
Токарь-расточник,Нефтекамск,130000.0,,RUR,2022-12-01T11:39:09+0300
Фрезеровщик,Владивосток,50000.0,,RUR,2022-12-01T01:58:56+0300
Токарь (Пермь),Пенза,106000.0,126000.0,RUR,2022-12-01T07:39:10+0300
Фрезеровщик (Пермь),Омск,106000.0,126000.0,RUR,2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),Нижний Новгород,106000.0,126000.0,RUR,2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),Тула,106000.0,126000.0,RUR,2022-12-01T07:55:10+0300
